symbol
NVDA
AAPL
MSFT
AMZN
GOOGL
GOOG
AVGO
META
TSLA
BRK.B
LLY
WMT
JPM
V
ORCL
MA
JNJ
XOM
PLTR
NFLX
BAC
ABBV
COST
HD
AMD
PG
GE
UNH
CSCO
KO
CVX
WFC
IBM
MS
CAT
MU
GS
AXP
MRK
CRM
RTX
PM
APP
MCD
ABT
TMUS
TMO
AMAT
PEP
LRCX
C
DIS
LIN
ISRG
QCOM
INTU
GEV
INTC
UBER
NOW
TJX
T
SCHW
VZ
AMGN
NEE
BKNG
ACN
BLK
TXN
DHR
BA
APH
KLAC
ANET
COF
SPGI
GILD
PFE
ADBE
UNP
LOW
PGR
BSX
ADI
SYK
PANW
DE
ETN
MDT
WELL
CRWD
HON
CB
KKR
PLD
COP
BX
VRTX
PH
LMT
CEG
HCA
NEM
HOOD
ADP
BMY
CVS
MCK
NKE
CMCSA
MO
DASH
CME
SBUX
SO
ICE
GD
MMC
DUK
MMM
CDNS
TT
WM
APO
DELL
SNPS
MCO
UPS
AMT
USB
PNC
BK
SHW
NOC
MAR
HWM
ELV
ORLY
REGN
ABNB
EMR
GLW
RCL
AON
GM
CTAS
ITW
ECL
WBD
EQIX
CI
WMB
TDG
MNST
COIN
CMI
JCI
MDLZ
CSX
FCX
TEL
FDX
COR
NSC
HLT
RSG
AJG
PWR
TFC
TRV
CL
ADSK
STX
FTNT
AEP
MSI
WDC
KMI
SPG
SLB
WDAY
ROST
EOG
PCAR
NXPI
VST
SRE
AFL
PYPL
AZO
PSX
BDX
IDXX
MPC
F
LHX
ALL
MET
APD
NDAQ
O
DLR
ZTS
URI
VLO
DDOG
EA
D
FAST
GWW
PSA
EW
CMG
ROP
CBRE
CAH
AME
OKE
BKR
AIG
DAL
AMP
MPWR
FANG
ROK
DHI
XEL
AXON
LVS
CARR
CTVA
TTWO
TGT
EXC
FICO
YUM
PAYX
MSCI
ETR
PRU
KR
OXY
CTSH
A
GRMN
KDP
PEG
XYZ
TRGP
VMC
CCI
EBAY
GEHC
MLM
NUE
IQV
EL
HIG
CPRT
HSY
FISV
RMD
CCL
MCHP
WAB
VTR
KEYS
SYY
STT
ED
EQT
FIS
UAL
OTIS
KMB
LYV
ACGL
WEC
ODFL
PCG
EXPE
XYL
KVUE
RJF
IR
HUM
FITB
HPE
MTB
WTW
NRG
VICI
TER
SNDK
SYF
VRSK
DG
LEN
K
KHC
ROL
ADM
CSGP
IBKR
EXR
MTD
HBAN
BRO
EME
TSCO
FSLR
DOV
ATO
EFX
DTE
EXE
CHTR
BR
ULTA
CBOE
WRB
AEE
NTRS
DLTR
DXCM
CINF
STZ
AWK
ES
OMC
FE
BIIB
TPR
PPL
STLD
CFG
AVB
CNP
GIS
STE
PHM
VLTO
RF
IRM
TDY
LDOS
HAL
LULU
HUBB
JBL
DVN
PPG
EQR
NTAP
WAT
TROW
HPQ
KEY
RL
EIX
WSM
VRSN
ON
CPAY
LH
LUV
L
CMS
DRI
TSN
PTC
PODD
NVR
IP
SBAC
EXPD
DGX
CHD
CNC
CTRA
PFG
SW
TYL
NI
SMCI
GPN
TPL
WST
AMCR
TRMB
JBHT
INCY
CDW
CHRW
PKG
GPC
SNA
ZBH
MKC
BG
TTD
LII
FTV
PNR
DD
DOW
GEN
APTV
EVRG
WY
IT
GDDY
LNT
HOLX
ESS
Q
IFF
TKO
INVH
J
ALB
COO
MAA
BBY
TXT
PSKY
FFIV
ERIE
FOX
FOXA
DECK
DPZ
SOLV
LYB
BF.B
AVY
UHS
ALLE
ZBRA
EG
BALL
KIM
JKHY
MAS
VTRS
IEX
HRL
NDSN
WYNN
HII
CLX
HST
AKAM
CF
REG
BEN
ALGN
BLDR
UDR
DOC
IVZ
SWK
EPAM
AIZ
MRNA
HAS
RVTY
BXP
GL
CPT
DAY
SJM
FDS
PNW
MGM
SWKS
BAX
AES
NWSA
AOS
CRL
GNRC
TAP
NCLH
APA
PAYC
TECH
HSIC
POOL
MOH
FRT
CPB
CAG
DVA
MOS
LW
ARE
LKQ
SOLS
MTCH
MHK
NWS
